ds,y
10/16/2015,27.76000023
10/19/2015,27.93250084
10/20/2015,28.44249916
10/21/2015,28.44000053
10/22/2015,28.875
10/23/2015,29.77000046
10/26/2015,28.81999969
10/27/2015,28.63750076
10/28/2015,29.81749916
10/29/2015,30.13249969
10/30/2015,29.875
11/2/2015,30.29500008
11/3/2015,30.64249992
11/4/2015,30.5
11/5/2015,30.22999954
11/6/2015,30.26499939
11/9/2015,30.14249992
11/10/2015,29.19249916
11/11/2015,29.02750015
11/12/2015,28.93000031
11/13/2015,28.08499908
11/16/2015,28.54500008
11/17/2015,28.42250061
11/18/2015,29.32250023
11/19/2015,29.69499969
11/20/2015,29.82500076
11/23/2015,29.4375
11/24/2015,29.71999931
11/25/2015,29.50749969
11/27/2015,29.45249939
11/30/2015,29.57500076
12/1/2015,29.33499908
12/2/2015,29.06999969
12/3/2015,28.79999924
12/4/2015,29.75749969
12/7/2015,29.56999969
12/8/2015,29.55750084
12/9/2015,28.90500069
12/10/2015,29.04249954
12/11/2015,28.29500008
12/14/2015,28.12000084
12/15/2015,27.62249947
12/16/2015,27.83499908
12/17/2015,27.24500084
12/18/2015,26.50749969
12/21/2015,26.83250046
12/22/2015,26.80750084
12/23/2015,27.15250015
12/24/2015,27.00749969
12/28/2015,26.70499992
12/29/2015,27.18499947
12/30/2015,26.82999992
12/31/2015,26.31500053
1/4/2016,26.33749962
1/5/2016,25.67749977
1/6/2016,25.17499924
1/7/2016,24.11249924
1/8/2016,24.23999977
1/11/2016,24.63249969
1/12/2016,24.98999977
1/13/2016,24.34749985
1/14/2016,24.87999916
1/15/2016,24.28249931
1/19/2016,24.16500092
1/20/2016,24.19750023
1/21/2016,24.07500076
1/22/2016,25.35499954
1/25/2016,24.86000061
1/26/2016,24.99749947
1/27/2016,23.35499954
1/28/2016,23.52249908
1/29/2016,24.33499908
2/1/2016,24.10750008
2/2/2016,23.62000084
2/3/2016,24.08749962
2/4/2016,24.14999962
2/5/2016,23.50499916
2/8/2016,23.75250053
2/9/2016,23.74749947
2/10/2016,23.56749916
2/11/2016,23.42499924
2/12/2016,23.49749947
2/16/2016,24.15999985
2/17/2016,24.53000069
2/18/2016,24.06500053
2/19/2016,24.01000023
2/22/2016,24.21999931
2/23/2016,23.67250061
2/24/2016,24.02499962
2/25/2016,24.19000053
2/26/2016,24.22750092
2/29/2016,24.17250061
3/1/2016,25.13249969
3/2/2016,25.1875
3/3/2016,25.375
3/4/2016,25.75250053
3/7/2016,25.46750069
3/8/2016,25.25749969
3/9/2016,25.28000069
3/10/2016,25.29249954
3/11/2016,25.56500053
3/14/2016,25.62999916
3/15/2016,26.14500046
3/16/2016,26.49250031
3/17/2016,26.45000076
3/18/2016,26.47999954
3/21/2016,26.47750092
3/22/2016,26.68000031
3/23/2016,26.53249931
3/24/2016,26.41749954
3/28/2016,26.29750061
3/29/2016,26.92000008
3/30/2016,27.38999939
3/31/2016,27.24749947
4/1/2016,27.49749947
4/4/2016,27.78000069
4/5/2016,27.45249939
4/6/2016,27.73999977
4/7/2016,27.13500023
4/8/2016,27.16500092
4/11/2016,27.25499916
4/12/2016,27.61000061
4/13/2016,28.01000023
4/14/2016,28.02499962
4/15/2016,27.46249962
4/18/2016,26.87000084
4/19/2016,26.72750092
4/20/2016,26.78249931
4/21/2016,26.49250031
4/22/2016,26.42000008
4/25/2016,26.27000046
4/26/2016,26.08749962
4/27/2016,24.45499992
4/28/2016,23.70750046
4/29/2016,23.43499947
5/2/2016,23.40999985
5/3/2016,23.79500008
5/4/2016,23.54750061
5/5/2016,23.30999947
5/6/2016,23.18000031
5/9/2016,23.19750023
5/10/2016,23.35499954
5/11/2016,23.12750053
5/12/2016,22.58499908
5/13/2016,22.62999916
5/16/2016,23.46999931
5/17/2016,23.37249947
5/18/2016,23.63999939
5/19/2016,23.54999924
5/20/2016,23.80500031
5/23/2016,24.10750008
5/24/2016,24.47500038
5/25/2016,24.90500069
5/26/2016,25.10250092
5/27/2016,25.08749962
5/31/2016,24.96500015
6/1/2016,24.61499977
6/2/2016,24.43000031
6/3/2016,24.47999954
6/6/2016,24.65749931
6/7/2016,24.75749969
6/8/2016,24.73500061
6/9/2016,24.91250038
6/10/2016,24.70750046
6/13/2016,24.33499908
6/14/2016,24.36499977
6/15/2016,24.28499985
6/16/2016,24.38750076
6/17/2016,23.83250046
6/20/2016,23.77499962
6/21/2016,23.97750092
6/22/2016,23.88750076
6/23/2016,24.02499962
6/24/2016,23.35000038
6/27/2016,23.01000023
6/28/2016,23.39749908
6/29/2016,23.60000038
6/30/2016,23.89999962
7/1/2016,23.97249985
7/5/2016,23.74749947
7/6/2016,23.88249969
7/7/2016,23.98500061
7/8/2016,24.17000008
7/11/2016,24.24500084
7/12/2016,24.35499954
7/13/2016,24.21750069
7/14/2016,24.69750023
7/15/2016,24.69499969
7/18/2016,24.95750046
7/19/2016,24.96750069
7/20/2016,24.98999977
7/21/2016,24.85750008
7/22/2016,24.66500092
7/25/2016,24.33499908
7/26/2016,24.16749954
7/27/2016,25.73749924
7/28/2016,26.08499908
7/29/2016,26.05249977
8/1/2016,26.51250076
8/2/2016,26.12000084
8/3/2016,26.44750023
8/4/2016,26.46750069
8/5/2016,26.87000084
8/8/2016,27.09250069
8/9/2016,27.20249939
8/10/2016,27
8/11/2016,26.98250008
8/12/2016,27.04500008
8/15/2016,27.37000084
8/16/2016,27.34499931
8/17/2016,27.30500031
8/18/2016,27.27000046
8/19/2016,27.34000015
8/22/2016,27.12750053
8/23/2016,27.21249962
8/24/2016,27.00749969
8/25/2016,26.89249992
8/26/2016,26.73500061
8/29/2016,26.70499992
8/30/2016,26.5
8/31/2016,26.52499962
9/1/2016,26.68250084
9/2/2016,26.93250084
9/6/2016,26.92499924
9/7/2016,27.09000015
9/8/2016,26.37999916
9/9/2016,25.78249931
9/12/2016,26.36000061
9/13/2016,26.98749924
9/14/2016,27.94249916
9/15/2016,28.89249992
9/16/2016,28.72999954
9/19/2016,28.39500046
9/20/2016,28.39249992
9/21/2016,28.38750076
9/22/2016,28.65500069
9/23/2016,28.17749977
9/26/2016,28.21999931
9/27/2016,28.27249908
9/28/2016,28.48749924
9/29/2016,28.04500008
9/30/2016,28.26250076
10/3/2016,28.12999916
10/4/2016,28.25
10/5/2016,28.26250076
10/6/2016,28.47249985
10/7/2016,28.51499939
10/10/2016,29.01250076
10/11/2016,29.07500076
10/12/2016,29.33499908
10/13/2016,29.24500084
10/14/2016,29.40749931
10/17/2016,29.38750076
10/18/2016,29.36750031
10/19/2016,29.28000069
10/20/2016,29.26499939
10/21/2016,29.14999962
10/24/2016,29.41250038
10/25/2016,29.5625
10/26/2016,28.89749908
10/27/2016,28.62000084
10/28/2016,28.43000031
10/31/2016,28.38500023
11/1/2016,27.87249947
11/2/2016,27.89749908
11/3/2016,27.45750046
11/4/2016,27.20999908
11/7/2016,27.60250092
11/8/2016,27.76499939
11/9/2016,27.71999931
11/10/2016,26.94750023
11/11/2016,27.10750008
11/14/2016,26.42749977
11/15/2016,26.77750015
11/16/2016,27.49749947
11/17/2016,27.48749924
11/18/2016,27.51499939
11/21/2016,27.93250084
11/22/2016,27.95000076
11/23/2016,27.80750084
11/25/2016,27.94750023
11/28/2016,27.89249992
11/29/2016,27.86499977
11/30/2016,27.62999916
12/1/2016,27.37249947
12/2/2016,27.47500038
12/5/2016,27.27750015
12/6/2016,27.48749924
12/7/2016,27.75749969
12/8/2016,28.03000069
12/9/2016,28.48749924
12/12/2016,28.32500076
12/13/2016,28.79750061
12/14/2016,28.79750061
12/15/2016,28.95499992
12/16/2016,28.99250031
12/19/2016,29.15999985
12/20/2016,29.23749924
12/21/2016,29.26499939
12/22/2016,29.07250023
12/23/2016,29.12999916
12/27/2016,29.31500053
12/28/2016,29.19000053
12/29/2016,29.18250084
12/30/2016,28.95499992
1/3/2017,29.03750038
1/4/2017,29.00499916
1/5/2017,29.15250015
1/6/2017,29.47750092
1/9/2017,29.74749947
1/10/2017,29.77750015
1/11/2017,29.9375
1/12/2017,29.8125
1/13/2017,29.76000023
1/17/2017,30
1/18/2017,29.99749947
1/19/2017,29.94499969
1/20/2017,30
1/23/2017,30.02000046
1/24/2017,29.99250031
1/25/2017,30.46999931
1/26/2017,30.48500061
1/27/2017,30.48749924
1/30/2017,30.40749931
1/31/2017,30.33749962
2/1/2017,32.1875
2/2/2017,32.13249969
2/3/2017,32.27000046
2/6/2017,32.57249832
2/7/2017,32.88249969
2/8/2017,33.00999832
2/9/2017,33.10499954
2/10/2017,33.02999878
